epoch,w2_loss_train_samples,g_OT_train_loss,g_constraints_train_loss,remaining_f_train_loss,mu_2moment_train_loss,miu_mean_train,miu_var_train
1,14282.16721136425,"[-3675.1281493377714, -6631.056301286494, -1920.772378896078, -3899.821583209571, -4169.168076688975, -380.8375382635325, -309.6432220596737, -487.7323793718551, -371.28855239020453, -301.3301171281602]",4.196998815917314,"[-2610.00770172447, -4042.937035573817, -1737.6028481495598, -2739.397570815347, -2638.348107518939, -511.3382068584611, -491.92363927628844, -592.1698899206333, -461.1404139392947, -424.41011076863236]",756.5063789504169,"[-4.11599588394165, -3.420804023742676, -3.8064632415771484, -5.211087226867676, 3.975574254989624, 1.3087917566299438, 5.216384410858154, -2.1714749336242676, 4.520197868347168, -6.196436405181885]","[[103.35361821995942, 101.83663872870565, 102.30393951792338, 73.65101283597603, -82.50746424586102, -100.05346536842072, -114.96801804042894, 79.71129273588208, -119.58691726305243, 8.555941549926048], [101.83663872870565, 118.4412684100024, 102.42287990933602, 65.76338934663356, -93.30706155870571, -115.61836951372585, -123.79948649386822, 89.51660598278826, -141.0542959325148, -16.433079162208717], [102.30393951792338, 102.42287990933602, 124.75243942098348, 83.9973042967992, -67.25045766195171, -116.87505133547386, -116.77391690141131, 66.55669111376497, -104.66718220318657, -44.06316974647676], [73.65101283597603, 65.76338934663356, 83.9973042967992, 65.01888034750407, -46.906032970752946, -68.49673929612493, -78.08795805095893, 43.26831435693893, -66.94821707235617, -0.15551679270475346], [-82.50746424586102, -93.30706155870571, -67.25045766195171, -46.906032970752946, 89.93291684184788, 80.12707246369457, 98.19106768065079, -78.00264792436406, 126.55913129970385, -30.11059811060868], [-100.05346536842072, -115.61836951372585, -116.87505133547386, -68.49673929612493, 80.12707246369457, 133.05003743970155, 123.69211873457024, -78.93082686590509, 131.85743264510583, 62.02971008686656], [-114.96801804042894, -123.79948649386822, -116.77391690141131, -78.08795805095893, 98.19106768065079, 123.69211873457024, 136.19156285815853, -95.47693452956327, 145.68331072907773, 11.437431169383819], [79.71129273588208, 89.51660598278826, 66.55669111376497, 43.26831435693893, -78.00264792436406, -78.93082686590509, -95.47693452956327, 81.90291926852201, -112.32524763017109, 13.335146506179683], [-119.58691726305243, -141.0542959325148, -104.66718220318657, -66.94821707235617, 126.55913129970385, 131.85743264510583, 145.68331072907773, -112.32524763017109, 188.61455967562887, -13.736841371515144], [8.555941549926048, -16.433079162208717, -44.06316974647676, -0.15551679270475346, -30.11059811060868, 62.02971008686656, 11.437431169383819, 13.335146506179683, -13.736841371515144, 176.0344320885183]]"
2,9456.115409308528,"[-7626.232440965438, -11568.857992519808, -4859.601849653455, -7978.24825419108, -7673.960591295033, -1595.3232400978934, -1406.513476024203, -1951.778824878269, -1574.4780597347687, -1368.2614281378844]",2.544999293105469,"[-8174.670453898112, -12641.418127848307, -5225.3479284667965, -8549.966510416667, -8332.89603902181, -1489.927298075358, -1395.4771419525146, -1802.557989654541, -1477.2006644948324, -1227.0506219482422]",4295.852013346355,"[-15.63680648803711, -17.71990394592285, -13.180495262145996, -19.59860610961914, 6.192342758178711, -5.583897113800049, 13.644612312316895, -10.903756141662598, 4.065866470336914, -17.37898826599121]","[[391.3278353568025, 127.51692358401888, 223.59151995590096, 55.529802992818574, -35.950618134034094, -254.64688187811072, -374.7916110467838, 123.7392941894268, -167.83960488722545, -61.48916026023329], [127.51692358401888, 729.6992514304249, 1.4675125327882559, 78.3167736818739, -321.6946411554366, -23.524590041364387, -428.2748947752999, 313.1359152166732, -319.3754879508733, -567.2601318033355], [223.59151995590096, 1.4675125327882559, 577.3574933072573, 394.68715734496527, 116.41041974697622, -543.2054090569285, -198.47003534336736, -8.393475410889701, -71.15147684710365, -404.5965053254751], [55.529802992818574, 78.3167736818739, 394.68715734496527, 404.82501214944944, 66.4546939101331, -356.5077138019154, -95.29600996097959, -16.075432807782306, -43.372200579892564, -331.2636297659542], [-35.950618134034094, -321.6946411554366, 116.41041974697622, 66.4546939101331, 359.209157397932, 84.71889435566072, 226.23097796233623, -227.90319882044085, 499.4861858245417, -7.931508508452886], [-254.64688187811072, -23.524590041364387, -543.2054090569285, -356.5077138019154, 84.71889435566072, 959.8262870452603, 330.7168634373972, -58.09634684496263, 669.1385868292298, 264.861389181553], [-374.7916110467838, -428.2748947752999, -198.47003534336736, -95.29600996097959, 226.23097796233623, 330.7168634373972, 578.9955645467178, -356.6533191851016, 376.3845594910288, 312.6223185454884], [123.7392941894268, 313.1359152166732, -8.393475410889701, -16.075432807782306, -227.90319882044085, -58.09634684496263, -356.6533191851016, 452.5857715260219, -157.1317800243221, -197.83750415448435], [-167.83960488722545, -319.3754879508733, -71.15147684710365, -43.372200579892564, 499.4861858245417, 669.1385868292298, 376.3845594910288, -157.1317800243221, 1174.6788413852107, -85.03551432995627], [-61.48916026023329, -567.2601318033355, -404.5965053254751, -331.2636297659542, -7.931508508452886, 264.861389181553, 312.6223185454884, -197.83750415448435, -85.03551432995627, 1187.826818454122]]"
3,7916.017853435936,"[-9574.823809882271, -14671.016660902236, -6164.908895365399, -10109.22391988118, -9691.833430175786, -1974.9681363932289, -1756.5499794006364, -2485.145776078965, -1971.915304438273, -1704.1936703999847]",2.3138762079675987,"[-9938.189315592448, -15188.99828125, -6327.81485514323, -10341.588990478516, -10039.045198567708, -1884.7843606567383, -1723.6375154622397, -2282.465883076986, -1890.9310999043782, -1607.0865449523926]",5866.738503255212,"[-12.396660804748535, -17.99920654296875, -12.738595008850098, -22.411483764648438, 6.153221607208252, -9.783287048339844, 18.104047775268555, -11.292959213256836, 5.1309967041015625, -17.495807647705078]","[[581.425233735845, 140.64912007362514, 241.07001987190029, 59.033229060852754, -45.43915781820365, -271.41723421031935, -465.54788185582856, 67.0811117194562, -138.60203084527714, -83.6072862471453], [140.64912007362514, 926.2043783013573, -68.9446860158089, 68.35127384293095, -284.9154986216723, 181.83431943974918, -421.1463982425243, 344.49403041502586, -285.9557493810009, -686.7398067977953], [241.07001987190029, -68.9446860158089, 760.777651109422, 402.8444502932226, 137.461446039552, -567.4240927483568, -136.01992922227961, -10.260739279686412, -49.60583025571025, -443.17536082909794], [59.033229060852754, 68.35127384293095, 402.8444502932226, 599.336571219802, 68.09551604851073, -469.4548624866514, -49.195289208952985, -57.66081942060515, -13.000008353600263, -420.476299146591], [-45.43915781820365, -284.9154986216723, 137.461446039552, 68.09551604851073, 551.5196583684788, 49.015461858104814, 305.1937005572582, -210.70179773658055, 517.3446715173483, 26.66494464935351], [-271.41723421031935, 181.83431943974918, -567.4240927483568, -469.4548624866514, 49.015461858104814, 1355.089147104987, 309.5308498606909, 16.265603745810818, 787.2062699029073, 236.43939708007775], [-465.54788185582856, -421.1463982425243, -136.01992922227961, -49.195289208952985, 305.1937005572582, 309.5308498606909, 1037.495989164211, -415.7921886220842, 394.4392414300734, 355.9347698430773], [67.0811117194562, 344.49403041502586, -10.260739279686412, -57.66081942060515, -210.70179773658055, 16.265603745810818, -415.7921886220842, 613.5658464752881, -94.1031564530299, -263.77684371514687], [-138.60203084527714, -285.9557493810009, -49.60583025571025, -13.000008353600263, 517.3446715173483, 787.2062699029073, 394.4392414300734, -94.1031564530299, 1766.5972380909964, -83.77673496810849], [-83.6072862471453, -686.7398067977953, -443.17536082909794, -420.476299146591, 26.66494464935351, 236.43939708007775, 355.9347698430773, -263.77684371514687, -83.77673496810849, 1568.6412224742905]]"
4,7554.862276768999,"[-10097.091437784828, -15460.152550930452, -6484.384141065805, -10620.731982354057, -10204.860562472877, -2075.7696742502844, -1841.0848046874996, -2621.963562418619, -2074.6996687486444, -1799.8438995530855]",1.9320317429138576,"[-10542.954635009766, -16160.570869954427, -6727.453459269206, -11018.442993570963, -10657.047078450521, -2024.181010691325, -1849.5091125488282, -2462.4810005696613, -2055.3968798828123, -1734.1330907694498]",6404.523783854168,"[-12.418404579162598, -15.821885108947754, -11.750490188598633, -22.12847137451172, 5.992944240570068, -9.513655662536621, 19.85007667541504, -10.903665542602539, 6.550117015838623, -18.01821517944336]","[[684.2944721708359, 118.07113063118612, 233.31008145794894, 42.459498361351166, -50.849947915297584, -279.58524127596615, -420.38383217841107, 75.86844802701613, -164.06747608014265, -124.83204349561558], [118.07113063118612, 1087.1026304887966, -42.07047733361446, 54.85105062044073, -281.8340026907165, 197.08924613918424, -440.1914495193702, 344.1402668895168, -245.45820806505003, -699.772690277816], [233.31008145794894, -42.07047733361446, 857.9373148351528, 404.431188571134, 164.77733562672046, -578.9112754423184, -164.30051170748933, -19.972737220787753, -40.51083612133058, -449.7163294931923], [42.459498361351166, 54.85105062044073, 404.431188571134, 685.7294332246161, 68.23934571460818, -466.31124857667714, -16.306666528063356, -60.13867001300188, -17.717588219639797, -423.76746648697525], [-50.849947915297584, -281.8340026907165, 164.77733562672046, 68.23934571460818, 681.9577120766029, 64.1350212606097, 295.55555559860375, -177.94661705733554, 524.3285075109519, 30.702636456231964], [-279.58524127596615, 197.08924613918424, -578.9112754423184, -466.31124857667714, 64.1350212606097, 1461.876798742308, 318.69835960974046, 26.06151917966405, 804.2849120857741, 202.9250722239817], [-420.38383217841107, -440.1914495193702, -164.30051170748933, -16.306666528063356, 295.55555559860375, 318.69835960974046, 1179.1499539991632, -380.13908240790676, 380.4340224597574, 363.46926056099636], [75.86844802701613, 344.1402668895168, -19.972737220787753, -60.13867001300188, -177.94661705733554, 26.06151917966405, -380.13908240790676, 688.3664124788921, -88.49351592734172, -306.61699661992424], [-164.06747608014265, -245.45820806505003, -40.51083612133058, -17.717588219639797, 524.3285075109519, 804.2849120857741, 380.4340224597574, -88.49351592734172, 1905.921993283934, -64.70969423223573], [-124.83204349561558, -699.772690277816, -449.7163294931923, -423.76746648697525, 30.702636456231964, 202.9250722239817, 363.46926056099636, -306.61699661992424, -64.70969423223573, 1642.096434988014]]"
5,7525.597129442006,"[-10080.23008585611, -15405.967171427415, -6464.404786648224, -10605.791594170463, -10204.820262586805, -2081.508162290785, -1837.4183374023435, -2613.3146572536875, -2066.8042374759248, -1804.7371497090678]",1.6116498756988196,"[-10631.39744140625, -16314.920169270834, -6797.430151570638, -11135.255247802734, -10742.029934488932, -2035.550165201823, -1874.1397538757324, -2505.186186421712, -2079.541369934082, -1753.4439040120442]",6442.005026041666,"[-13.07796573638916, -15.89786434173584, -11.195271492004395, -21.926584243774414, 6.902763843536377, -9.494376182556152, 20.394067764282227, -11.156335830688477, 6.037069320678711, -17.633657455444336]","[[685.391598358529, 104.42855986440708, 224.08676310568782, 31.044003053624554, -33.72084669353034, -278.92315884773654, -402.1507859757959, 75.9305474605912, -166.01424326755492, -130.01299126878266], [104.42855986440708, 1101.144154394431, -56.38441683077568, 33.54512347020618, -266.4375655497487, 192.09970991087548, -427.77971476630734, 335.1793097477831, -245.66042908323496, -705.0448717100737], [224.08676310568782, -56.38441683077568, 878.126466277201, 388.837578710329, 159.4549792801272, -561.9907675000213, -173.75093899252587, -24.569209027024645, -58.77682643574476, -442.8843801044395], [31.044003053624554, 33.54512347020618, 388.837578710329, 688.4363948308752, 86.16701335208231, -450.89140918487914, -10.85754567684376, -56.016912344214845, -35.56931615156348, -409.1978709629281], [-33.72084669353034, -266.4375655497487, 159.4549792801272, 86.16701335208231, 672.5641430140502, 59.1839454936418, 277.58483489937294, -170.4593265369523, 507.37315420710695, 31.295059571143234], [-278.92315884773654, 192.09970991087548, -561.9907675000213, -450.89140918487914, 59.1839454936418, 1481.2734937010148, 316.3718638911647, 24.908021635152053, 792.787535880879, 210.81580434960935], [-402.1507859757959, -427.77971476630734, -173.75093899252587, -10.85754567684376, 277.58483489937294, 316.3718638911647, 1177.6673771131682, -377.2488799723079, 397.35100442556165, 370.99512206911385], [75.9305474605912, 335.1793097477831, -24.569209027024645, -56.016912344214845, -170.4593265369523, 24.908021635152053, -377.2488799723079, 690.5334777690582, -87.57256886367689, -297.17767291394176], [-166.01424326755492, -245.66042908323496, -58.77682643574476, -35.56931615156348, 507.37315420710695, 792.787535880879, 397.35100442556165, -87.57256886367689, 1906.6705106943296, -76.03073185082035], [-130.01299126878266, -705.0448717100737, -442.8843801044395, -409.1978709629281, 31.295059571143234, 210.81580434960935, 370.99512206911385, -297.17767291394176, -76.03073185082035, 1653.0059167360323]]"
6,7513.937418562138,"[-10033.172669881182, -15343.659239095048, -6441.797176445857, -10563.213822767473, -10180.668222113718, -2067.544493492974, -1825.5547162458615, -2594.9078713311087, -2051.2967956203884, -1792.5236814965128]",1.34421969472534,"[-10726.253677164714, -16438.819299316405, -6855.726531778972, -11226.231536458334, -10813.832472330729, -2063.828704783122, -1895.2075298055013, -2537.2116927083334, -2106.212134501139, -1774.5866196695963]",6466.0109889323,"[-12.625147819519043, -15.814434051513672, -11.89250659942627, -22.23155403137207, 6.798499584197998, -8.828530311584473, 19.664180755615234, -10.658188819885254, 5.371748447418213, -17.81472396850586]","[[699.9530213267204, 114.35784938376074, 217.4187392332061, 38.30735625841548, -34.24672826999607, -269.6845011600036, -419.48015508626946, 80.62147120044979, -173.37821978781705, -118.43753304724645], [114.35784938376074, 1104.6926355673781, -60.49774177816597, 30.996823709467947, -269.56302963857894, 196.3821508332381, -443.0678552327045, 344.6665237607186, -259.0313634730217, -701.6450237258184], [217.4187392332061, -60.49774177816597, 872.4154804087011, 375.266182696284, 164.30746148663127, -571.1519890042657, -164.59388445877707, -24.038569118056113, -58.60144808006155, -457.7589619390672], [38.30735625841548, 30.996823709467947, 375.266182696284, 682.7708601284761, 90.46490706646578, -444.68878999120847, -21.069476519279494, -50.40718271884909, -44.50890670042798, -421.54849801944835], [-34.24672826999607, -269.56302963857894, 164.30746148663127, 90.46490706646578, 681.0830631884257, 57.625256417890235, 281.85507812974913, -175.16141474201683, 512.9588464542512, 33.172887807016174], [-269.6845011600036, 196.3821508332381, -571.1519890042657, -444.68878999120847, 57.625256417890235, 1496.083091929507, 295.3473796760483, 36.401815378082716, 782.2849421820738, 215.02118880543463], [-419.48015508626946, -443.0678552327045, -164.59388445877707, -21.069476519279494, 281.85507812974913, 295.3473796760483, 1213.943804825378, -395.7805731646075, 412.6707387097377, 357.67846940462323], [80.62147120044979, 344.6665237607186, -24.038569118056113, -50.40718271884909, -175.16141474201683, 36.401815378082716, -395.7805731646075, 704.180997201563, -100.53951233117189, -293.4529164353514], [-173.37821978781705, -259.0313634730217, -58.60144808006155, -44.50890670042798, 512.9588464542512, 782.2849421820738, 412.6707387097377, -100.53951233117189, 1925.6087446175604, -82.2624119548715], [-118.43753304724645, -701.6450237258184, -457.7589619390672, -421.54849801944835, 33.172887807016174, 215.02118880543463, 357.67846940462323, -293.4529164353514, -82.2624119548715, 1642.9822358169322]]"
7,7498.950852255924,"[-9990.012180379237, -15300.495670301647, -6418.300187004936, -10510.961655951613, -10153.56645026313, -2057.702259114582, -1818.4859877692334, -2581.1821700541145, -2039.8486115180103, -1784.3280167728003]",1.1297080508867896,"[-10784.791215820313, -16507.056208902995, -6887.435108439127, -11283.419617919923, -10854.713349609376, -2075.7588408406577, -1904.1210875447591, -2552.3665002441408, -2119.663237660726, -1783.9443552652995]",6466.108076822922,"[-12.36857795715332, -16.027305603027344, -11.721936225891113, -21.973237991333008, 7.120221138000488, -9.123663902282715, 19.53426742553711, -10.608929634094238, 5.432344436645508, -18.13933563232422]","[[707.2178222853963, 113.60293720978613, 220.49278369826644, 45.832078273920075, -36.03733993172541, -270.87742418242925, -424.752729319567, 83.10853291227711, -172.8772335457952, -119.71249889128829], [113.60293720978613, 1104.0123570973828, -62.476312490237945, 30.933129466461935, -263.9959748831377, 194.7711188555977, -439.955552367085, 342.1021364712491, -251.87431069703743, -713.2891545273513], [220.49278369826644, -62.476312490237945, 874.3562355379405, 386.14060058095686, 166.24905791264385, -571.7915886204363, -169.5018505401461, -21.9704656463867, -56.648558825311426, -454.53560766180385], [45.832078273920075, 30.933129466461935, 386.14060058095686, 690.0280498542663, 89.44848392948788, -448.9790621786624, -25.676927512352062, -50.95877042154666, -43.04527595029867, -426.4922568909313], [-36.03733993172541, -263.9959748831377, 166.24905791264385, 89.44848392948788, 679.2461259833461, 60.92637196175992, 279.89470997309076, -172.6721579484505, 509.00404538080676, 39.726597202968996], [-270.87742418242925, 194.7711188555977, -571.7915886204363, -448.9790621786624, 60.92637196175992, 1495.577696046346, 301.5751402539379, 31.034203069395893, 789.0005713038562, 209.06528009980215], [-424.752729319567, -439.955552367085, -169.5018505401461, -25.676927512352062, 279.89470997309076, 301.5751402539379, 1209.144690464151, -398.6356063368289, 403.43797668424395, 367.5739398540441], [83.10853291227711, 342.1021364712491, -21.9704656463867, -50.95877042154666, -172.6721579484505, 31.034203069395893, -398.6356063368289, 709.124007265649, -101.50655466142881, -297.33862255691514], [-172.8772335457952, -251.87431069703743, -56.648558825311426, -43.04527595029867, 509.00404538080676, 789.0005713038562, 403.43797668424395, -101.50655466142881, 1920.2947030118166, -79.84536855154084], [-119.71249889128829, -713.2891545273513, -454.53560766180385, -426.4922568909313, 39.726597202968996, 209.06528009980215, 367.5739398540441, -297.33862255691514, -79.84536855154084, 1634.165832701298]]"
8,7495.142437423707,"[-9973.080449693469, -15295.865951877175, -6409.622586568195, -10489.74489352756, -10147.225716213656, -2055.5425171915685, -1817.770140414765, -2577.254707455105, -2035.5590524885388, -1782.3503189256446]",0.895843537669215,"[-10820.18194946289, -16549.191362304686, -6907.694701944987, -11325.573450113932, -10881.646319580079, -2081.3940442911785, -1906.6776674906412, -2558.512912902832, -2126.81571395874, -1788.6312698872885]",6476.422192057295,"[-12.512850761413574, -16.285764694213867, -11.495138168334961, -21.97479248046875, 7.426260471343994, -9.134015083312988, 20.052215576171875, -10.739407539367676, 6.029049873352051, -18.26192855834961]","[[705.606730748462, 106.15325764169313, 219.93285038023657, 41.938407322139234, -31.693593171776058, -275.91932097209224, -421.37141999025437, 81.07588797727983, -168.3907473621068, -123.75550216809516], [106.15325764169313, 1087.7181800002159, -62.2315330278134, 27.259549696856045, -254.65790567908533, 190.94475629071542, -431.1770664363861, 337.70651301332015, -239.043838888299, -710.7447568537154], [219.93285038023657, -62.2315330278134, 878.0497162241122, 389.503226559897, 168.72155369827996, -575.0992114474142, -170.13183807673653, -21.941046247039626, -55.40416061501197, -450.94500608844857], [41.938407322139234, 27.259549696856045, 389.503226559897, 697.7957271027335, 97.55112717247387, -451.47784279831484, -17.18505003045382, -49.68039647319801, -28.052531522024818, -430.56665628823396], [-31.693593171776058, -254.65790567908533, 168.72155369827996, 97.55112717247387, 677.5719709518643, 67.14027073165421, 271.27521666401645, -166.99063393571174, 508.2293287103394, 43.33238114092015], [-275.91932097209224, 190.94475629071542, -575.0992114474142, -451.47784279831484, 67.14027073165421, 1498.0902587162689, 310.8591208562329, 33.62610040423437, 795.9296236549874, 211.5505563442539], [-421.37141999025437, -431.1770664363861, -170.13183807673653, -17.18505003045382, 271.27521666401645, 310.8591208562329, 1199.3204999355023, -391.18500074696703, 392.71789074334293, 378.0041664118907], [81.07588797727983, 337.70651301332015, -21.941046247039626, -49.68039647319801, -166.99063393571174, 33.62610040423437, -391.18500074696703, 704.2766208689407, -92.3591830558656, -295.78777458306763], [-168.3907473621068, -239.043838888299, -55.40416061501197, -28.052531522024818, 508.2293287103394, 795.9296236549874, 392.71789074334293, -92.3591830558656, 1916.849240750315, -65.57018163644211], [-123.75550216809516, -710.7447568537154, -450.94500608844857, -430.56665628823396, 43.33238114092015, 211.5505563442539, 378.0041664118907, -295.78777458306763, -65.57018163644211, 1632.26312803831]]"
9,7491.291795654299,"[-9967.93883504232, -15304.132762722447, -6409.586942952476, -10483.449165310329, -10148.60020494249, -2055.3086141459144, -1819.5583407084137, -2580.0801649136, -2035.4155513763446, -1782.8083659447566]",0.7252418163046233,"[-10822.590240885416, -16535.470419514975, -6903.628032226563, -11321.777849527994, -10874.318310139974, -2080.877157541911, -1904.9660335286458, -2554.609061991374, -2128.197728627523, -1787.681832784017]",6471.562879557296,"[-12.502756118774414, -15.970178604125977, -11.823211669921875, -22.224260330200195, 7.039954662322998, -9.225676536560059, 19.683462142944336, -10.707477569580078, 5.6837334632873535, -17.962312698364258]","[[701.8676240320784, 110.06582303262601, 216.4646985962709, 40.70170563684775, -38.03607257414077, -273.4966987754917, -421.2893724313933, 82.7743137872773, -169.89927176416268, -122.89763731617958], [110.06582303262601, 1099.4145670668643, -64.7997769690366, 28.330413046148745, -265.90216332785343, 190.95677152602198, -437.8985423092407, 339.6993596066448, -247.73958486947006, -707.9396490350822], [216.4646985962709, -64.7997769690366, 871.0952445123171, 378.79561422063114, 167.36598832770213, -576.2012711990693, -166.40307665316314, -24.86530458727811, -54.491238648326814, -451.04135872911485], [40.70170563684775, 28.330413046148745, 378.79561422063114, 685.4049644858044, 91.47492538772634, -452.1481599746422, -18.563657539076196, -53.27429166639002, -31.404932731666424, -428.03511360717954], [-38.03607257414077, -265.90216332785343, 167.36598832770213, 91.47492538772634, 685.8623124299565, 65.22470273857631, 280.4772185450269, -173.19617355531278, 514.9654385789822, 37.530124269465595], [-273.4966987754917, 190.95677152602198, -576.2012711990693, -452.1481599746422, 65.22470273857631, 1494.6381958491916, 308.19224820822325, 32.75091273739279, 788.2432735146598, 208.31314929262086], [-421.2893724313933, -437.8985423092407, -166.40307665316314, -18.563657539076196, 280.4772185450269, 308.19224820822325, 1203.1018140104095, -393.936285472585, 399.38962124675174, 370.0584143863243], [82.7743137872773, 339.6993596066448, -24.86530458727811, -53.27429166639002, -173.19617355531278, 32.75091273739279, -393.936285472585, 705.5045036408628, -95.8357979247061, -297.39357486161475], [-169.89927176416268, -247.73958486947006, -54.491238648326814, -31.404932731666424, 514.9654385789822, 788.2432735146598, 399.38962124675174, -95.8357979247061, 1924.987658269036, -80.25069792518974], [-122.89763731617958, -707.9396490350822, -451.04135872911485, -428.03511360717954, 37.530124269465595, 208.31314929262086, 370.0584143863243, -297.39357486161475, -80.25069792518974, 1642.1483253395147]]"
10,7485.172875457766,"[-9972.424788750537, -15313.251842312304, -6416.211510586211, -10489.250880059142, -10152.867543402783, -2056.2080085076204, -1822.0056241777202, -2581.4460915289987, -2034.124396158853, -1784.646141654122]",0.6774636065256263,"[-10825.17710530599, -16540.52279296875, -6901.912849934896, -11324.234403076172, -10874.293860270182, -2081.816902008057, -1904.5243767293293, -2554.7204447428385, -2128.683571573893, -1788.0892467753092]",6473.045084635418,"[-12.603591918945312, -15.954389572143555, -11.834906578063965, -22.072256088256836, 7.059813022613525, -9.294161796569824, 19.9885311126709, -10.830772399902344, 5.49940824508667, -18.04830551147461]","[[701.1190815613434, 108.75331754681169, 218.07231559385687, 37.49589333123825, -33.69326860273501, -276.252452774939, -416.6931981053721, 77.64392734389283, -170.5637601356151, -124.13312065089781], [108.75331754681169, 1105.8030090128898, -60.51192351585799, 33.00038922604725, -264.37957253601996, 187.90941499922678, -436.4530199248676, 338.399777508318, -253.21110387417147, -706.1807708100619], [218.07231559385687, -60.51192351585799, 871.1023055136219, 382.0756431228991, 162.27438247409873, -575.896750880873, -163.87295023531723, -25.307937476593914, -60.474869980545165, -453.2526321613742], [37.49589333123825, 33.00038922604725, 382.0756431228991, 691.4289575245888, 88.61023109185503, -456.42399749088725, -16.21568520301605, -52.63443646103715, -44.060579580917235, -426.6446905797141], [-33.69326860273501, -264.37957253601996, 162.27438247409873, 88.61023109185503, 682.2491950268876, 63.18483139468739, 278.81405601978867, -171.52965227245207, 512.4455271368638, 39.485381522058624], [-276.252452774939, 187.90941499922678, -575.896750880873, -456.42399749088725, 63.18483139468739, 1496.4622541633682, 310.1104288341279, 28.826253840402114, 792.8864310468333, 208.50778234338136], [-416.6931981053721, -436.4530199248676, -163.87295023531723, -16.21568520301605, 278.81405601978867, 310.1104288341279, 1195.284254459157, -387.7803327683395, 402.7650671098949, 372.30474399757617], [77.64392734389283, 338.399777508318, -25.307937476593914, -52.63443646103715, -171.52965227245207, 28.826253840402114, -387.7803327683395, 704.264952276271, -100.16357459249033, -298.0010495901793], [-170.5637601356151, -253.21110387417147, -60.474869980545165, -44.060579580917235, 512.4455271368638, 792.8864310468333, 402.7650671098949, -100.16357459249033, 1922.8788324089803, -72.78213303701295], [-124.13312065089781, -706.1807708100619, -453.2526321613742, -426.6446905797141, 39.485381522058624, 208.50778234338136, 372.30474399757617, -298.0010495901793, -72.78213303701295, 1633.6604397981405]]"
